Date,Store_id,Product_id,Units_sold,Sales Amount,Discount Applied,Customer Segment
2024-09-11,S002,P002,76.0,199.57,15.45,New
,S002,P005,52.0,1279.78,14.51,New
,S001,P007,33.0,755.12,3.8,Regular
,S005,P001,82.0,1316.87,3.32,New
,S006,P003,87.0,1404.44,14.3,New
,S006,P007,33.0,1414.32,16.62,Regular
,S003,P002,88.0,891.87,14.25,New
,S002,P003,0.0,1307.87,11.09,Regular
,S005,P003,31.0,500.71,1.62,Premium
,S006,P003,71.0,1473.68,12.17,Premium
2024-05-11,S002,P005,7.0,837.98,17.56,Premium
,S003,P002,90.0,561.26,8.4,Premium
,S005,P006,31.0,674.88,10.02,New
,S003,P004,96.0,868.24,9.614999999999998,Premium
,S004,P002,68.0,813.67,11.38,Premium
,S002,P002,17.0,1281.82,14.5,New
,S004,P007,8.0,1317.86,4.05,Premium
,S004,P007,51.0,215.77,11.29,Regular
2024-02-11,S002,P007,23.0,488.95,0.3,Premium
2024-01-12,S002,P002,54.0,1272.1,1.71,Premium
,S001,P006,69.0,608.73,16.48,Regular
,S005,P002,27.0,385.23,5.17,New
,S005,P007,97.0,1348.09,17.38,New
2024-03-11,S005,P003,33.0,320.72,12.57,Premium
2024-06-11,S005,P005,28.0,438.41,12.84,New
,S004,P007,6.0,258.17,5.96,Regular
2024-10-11,S001,P008,83.0,818.48,2.43,Regular
,S002,P001,79.0,1278.29,5.81,Regular
,S005,P006,18.0,612.83,4.15,Premium
,S001,P006,83.0,813.67,12.69,Premium
,S002,P004,51.0,837.13,10.62,New
2024-02-11,S002,P001,2.0,535.9,4.06,Premium
,S003,P004,34.0,683.1,12.38,Regular
,S002,P002,20.0,1317.45,14.13,New
,S004,P004,80.0,1109.35,15.2,Regular
,S006,P002,93.0,813.67,12.88,New
2024-04-11,S005,P002,1.0,813.67,0.32,New
,S006,P004,84.0,585.31,11.57,New
2024-04-11,S001,P001,24.0,1104.38,2.2,Premium
2024-06-11,S005,P002,85.0,1180.64,16.38,Regular
2024-11-11,S003,P006,54.0,989.42,18.19,Premium
,S005,P008,64.0,1475.44,5.94,Regular
,S004,P003,53.0,1194.64,0.94,New
2024-12-11,S002,P001,32.0,1428.69,8.8,Premium
,S005,P002,2.0,212.69,6.51,New
,S001,P004,76.0,1399.78,16.4,Regular
,S002,P008,94.0,437.96,1.96,Premium
,S002,P001,8.0,1483.87,12.91,New
2024-06-11,S002,P002,26.0,1497.49,19.13,New
2024-02-11,S002,P006,70.0,1390.63,4.18,Regular
2024-10-11,S003,P002,61.0,872.92,15.87,New
,S003,P008,75.0,897.22,17.68,New
,S006,P004,39.0,1294.33,6.0,Premium
2024-10-11,S003,P004,29.0,674.2,17.21,New
2024-01-11,S005,P007,8.0,910.15,2.7,New
2024-06-11,S003,P002,98.0,1038.84,16.29,Regular
2024-06-11,S003,P007,32.0,1394.34,9.95,New
2024-07-11,S006,P007,31.0,839.77,18.83,Premium
,S004,P004,75.0,1117.71,9.614999999999998,New
,S004,P008,31.0,1184.66,6.87,Premium
,S001,P008,71.0,251.99,5.56,New
,S005,P004,3.0,701.51,7.34,New
2024-03-11,S003,P003,8.0,917.71,5.03,New
,S001,P001,41.0,308.8,6.19,New
2024-01-12,S004,P003,88.0,630.61,15.82,New
,S005,P008,73.0,221.48,7.0,Premium
2024-06-11,S005,P008,75.0,482.09,18.31,Premium
,S003,P007,51.0,145.52,16.02,Regular
,S003,P004,35.0,1009.56,9.23,Regular
,S003,P005,78.0,1153.9,19.06,New
,S003,P002,48.0,794.77,9.614999999999998,Regular
,S004,P006,66.0,643.67,3.45,Premium
,S005,P008,87.0,1255.56,7.67,Premium
2024-09-11,S006,P005,86.0,894.43,13.38,Regular
,S002,P004,27.0,813.67,3.55,New
,S004,P003,8.0,802.18,6.3,Premium
2024-03-11,S006,P003,48.0,413.82,0.85,New
,S001,P001,94.0,351.92,17.62,Premium
,S005,P004,8.0,813.67,9.29,New
,S002,P004,16.0,365.05,19.29,New
2024-12-11,S005,P002,47.0,813.67,17.13,New
2024-03-11,S004,P003,56.0,1071.56,6.22,Regular
,S001,P008,19.0,852.58,17.93,Regular
2024-04-11,S003,P006,8.0,1481.79,7.26,Regular
,S001,P001,26.0,181.83,6.36,Regular
,S006,P008,99.0,305.62,5.36,Premium
2024-12-11,S001,P008,99.0,924.0,3.38,Premium
2024-07-11,S002,P004,13.0,458.64,7.82,New
,S006,P002,9.0,915.45,9.614999999999998,Premium
2024-06-11,S002,P005,13.0,968.53,9.614999999999998,New
,S002,P004,28.0,340.01,1.96,New
,S004,P002,81.0,813.67,17.41,New
2024-09-11,S002,P001,87.0,246.79,2.37,Regular
,S002,P006,53.0,860.36,14.95,New
,S002,P007,56.0,1252.91,11.12,Premium
2024-03-11,S002,P001,51.0,722.72,8.73,Premium
,S001,P003,69.0,998.21,3.0,New
,S004,P004,56.0,170.34,9.614999999999998,Premium
2024-11-11,S003,P007,51.0,1333.28,3.11,New
,S005,P002,92.0,1434.73,13.05,New
2024-09-11,S003,P003,56.0,1169.43,17.39,New
,S003,P005,70.0,515.23,11.82,Premium
